data_structure,time,D,k,N
dumbKNN,13189815,6,2,100000
dumbKNN,19806116,6,5,100000
dumbKNN,26431093,6,10,100000
dumbKNN,33105640,6,20,100000
dumbKNN,39939652,6,50,100000
dumbKNN,47031506,6,100,100000
dumbKNN,6757,7,1,100
dumbKNN,14082,7,2,100
dumbKNN,24784,7,5,100
dumbKNN,40154,7,10,100
dumbKNN,63621,7,20,100
dumbKNN,110853,7,50,100
dumbKNN,164140,7,100,100
dumbKNN,66323,7,1,1000
dumbKNN,133611,7,2,1000
dumbKNN,207954,7,5,1000
dumbKNN,292822,7,10,1000
dumbKNN,400584,7,20,1000
dumbKNN,574440,7,50,1000
dumbKNN,838378,7,100,1000
dumbKNN,662289,7,1,10000
dumbKNN,1326245,7,2,10000
dumbKNN,1999348,7,5,10000
dumbKNN,2687658,7,10,10000
dumbKNN,3408404,7,20,10000
dumbKNN,4230535,7,50,10000
dumbKNN,5227343,7,100,10000
dumbKNN,6620284,7,1,100000
dumbKNN,13250305,7,2,100000
dumbKNN,19890747,7,5,100000
dumbKNN,26551850,7,10,100000
dumbKNN,33260460,7,20,100000
dumbKNN,40111953,7,50,100000
dumbKNN,47213090,7,100,100000
bucketKNN,8838,1,1,100
bucketKNN,18131,1,2,100
bucketKNN,30496,1,5,100
bucketKNN,47188,1,10,100
bucketKNN,73324,1,20,100
bucketKNN,112980,1,50,100
bucketKNN,159729,1,100,100
bucketKNN,24581,1,1,1000
bucketKNN,50234,1,2,1000
bucketKNN,81611,1,5,1000
bucketKNN,119964,1,10,1000
bucketKNN,172926,1,20,1000
bucketKNN,253435,1,50,1000
bucketKNN,358655,1,100,1000
bucketKNN,34944,1,1,10000
bucketKNN,71071,1,2,10000
bucketKNN,113935,1,5,10000
bucketKNN,165838,1,10,10000
bucketKNN,234459,1,20,10000
bucketKNN,336071,1,50,10000
bucketKNN,471180,1,100,10000
bucketKNN,39646,1,1,100000
bucketKNN,80440,1,2,100000
bucketKNN,128013,1,5,100000
bucketKNN,184944,1,10,100000
bucketKNN,258751,1,20,100000
bucketKNN,369840,1,50,100000
bucketKNN,519963,1,100,100000
bucketKNN,9529,2,1,100
bucketKNN,19551,2,2,100
bucketKNN,33244,2,5,100
bucketKNN,50339,2,10,100
bucketKNN,75596,2,20,100
bucketKNN,117833,2,50,100
bucketKNN,167379,2,100,100
bucketKNN,83397,2,1,1000
bucketKNN,168204,2,2,1000
bucketKNN,261745,2,5,1000
bucketKNN,366355,2,10,1000
bucketKNN,494400,2,20,1000
bucketKNN,682347,2,50,1000
bucketKNN,944492,2,100,1000
bucketKNN,229624,2,1,10000
bucketKNN,460622,2,2,10000
bucketKNN,703232,2,5,10000
bucketKNN,962196,2,10,10000
bucketKNN,1253237,2,20,10000
bucketKNN,1628351,2,50,10000
bucketKNN,2114165,2,100,10000
bucketKNN,355505,2,1,100000
bucketKNN,713722,2,2,100000
bucketKNN,1084735,2,5,100000
bucketKNN,1471846,2,10,100000
bucketKNN,1891942,2,20,100000
bucketKNN,2400583,2,50,100000
bucketKNN,3035706,2,100,100000
bucketKNN,11110,3,1,100
bucketKNN,22043,3,2,100
bucketKNN,36535,3,5,100
bucketKNN,56128,3,10,100
bucketKNN,83963,3,20,100
bucketKNN,128654,3,50,100
bucketKNN,184840,3,100,100
bucketKNN,94098,3,1,1000
bucketKNN,189300,3,2,1000
bucketKNN,296884,3,5,1000
bucketKNN,419319,3,10,1000
bucketKNN,573327,3,20,1000
bucketKNN,807668,3,50,1000
bucketKNN,1144796,3,100,1000
bucketKNN,451105,3,1,10000
bucketKNN,903721,3,2,10000
bucketKNN,1369637,3,5,10000
bucketKNN,1859406,3,10,10000
bucketKNN,2386999,3,20,10000
bucketKNN,3008375,3,50,10000
