data_structure,time,D,k,N
dumbKNN,12902805,6,2,100000
dumbKNN,19368682,6,5,100000
dumbKNN,25863601,6,10,100000
dumbKNN,32404377,6,20,100000
dumbKNN,39081867,6,50,100000
dumbKNN,46006161,6,100,100000
dumbKNN,6656,7,1,100
dumbKNN,13838,7,2,100
dumbKNN,24995,7,5,100
dumbKNN,41106,7,10,100
dumbKNN,67045,7,20,100
dumbKNN,110340,7,50,100
dumbKNN,162937,7,100,100
dumbKNN,64933,7,1,1000
dumbKNN,130789,7,2,1000
dumbKNN,203414,7,5,1000
dumbKNN,286779,7,10,1000
dumbKNN,391322,7,20,1000
dumbKNN,553848,7,50,1000
dumbKNN,803402,7,100,1000
dumbKNN,648144,7,1,10000
dumbKNN,1298109,7,2,10000
dumbKNN,1968439,7,5,10000
dumbKNN,2644922,7,10,10000
dumbKNN,3355588,7,20,10000
dumbKNN,4170002,7,50,10000
dumbKNN,5159224,7,100,10000
dumbKNN,6490534,7,1,100000
dumbKNN,12974778,7,2,100000
dumbKNN,19470704,7,5,100000
dumbKNN,25988135,7,10,100000
dumbKNN,32550037,7,20,100000
dumbKNN,39268301,7,50,100000
dumbKNN,46233047,7,100,100000
bucketKNN,9008,1,1,100
bucketKNN,18357,1,2,100
bucketKNN,30918,1,5,100
bucketKNN,47588,1,10,100
bucketKNN,73072,1,20,100
bucketKNN,112381,1,50,100
bucketKNN,160468,1,100,100
bucketKNN,13142,1,1,1000
bucketKNN,26986,1,2,1000
bucketKNN,45576,1,5,1000
bucketKNN,69860,1,10,1000
bucketKNN,103726,1,20,1000
bucketKNN,152378,1,50,1000
bucketKNN,216495,1,100,1000
bucketKNN,12994,1,1,10000
bucketKNN,26803,1,2,10000
bucketKNN,45302,1,5,10000
bucketKNN,69149,1,10,10000
bucketKNN,101705,1,20,10000
bucketKNN,148539,1,50,10000
bucketKNN,207557,1,100,10000
bucketKNN,13454,1,1,100000
bucketKNN,27797,1,2,100000
bucketKNN,46738,1,5,100000
bucketKNN,71276,1,10,100000
bucketKNN,104747,1,20,100000
bucketKNN,151580,1,50,100000
bucketKNN,210106,1,100,100000
bucketKNN,9298,2,1,100
bucketKNN,18973,2,2,100
bucketKNN,32113,2,5,100
bucketKNN,49534,2,10,100
bucketKNN,75071,2,20,100
bucketKNN,115962,2,50,100
bucketKNN,188920,2,100,100
bucketKNN,35639,2,1,1000
bucketKNN,72121,2,2,1000
bucketKNN,114510,2,5,1000
bucketKNN,163794,2,10,1000
bucketKNN,226330,2,20,1000
bucketKNN,315968,2,50,1000
bucketKNN,433008,2,100,1000
bucketKNN,30220,2,1,10000
bucketKNN,61413,2,2,10000
bucketKNN,97834,2,5,10000
bucketKNN,140502,2,10,10000
bucketKNN,195107,2,20,10000
bucketKNN,272421,2,50,10000
bucketKNN,376456,2,100,10000
bucketKNN,30756,2,1,100000
bucketKNN,62629,2,2,100000
bucketKNN,99936,2,5,100000
bucketKNN,144236,2,10,100000
bucketKNN,200231,2,20,100000
bucketKNN,280537,2,50,100000
bucketKNN,384264,2,100,100000
bucketKNN,9243,3,1,100
bucketKNN,19045,3,2,100
bucketKNN,32370,3,5,100
bucketKNN,50002,3,10,100
bucketKNN,75492,3,20,100
bucketKNN,116042,3,50,100
bucketKNN,205492,3,100,100
bucketKNN,50023,3,1,1000
bucketKNN,100716,3,2,1000
bucketKNN,157443,3,5,1000
bucketKNN,221274,3,10,1000
bucketKNN,299594,3,20,1000
bucketKNN,407597,3,50,1000
bucketKNN,547128,3,100,1000
bucketKNN,65421,3,1,10000
bucketKNN,132392,3,2,10000
bucketKNN,205350,3,5,10000
bucketKNN,285638,3,10,10000
bucketKNN,379595,3,20,10000
bucketKNN,504316,3,50,10000
bucketKNN,663772,3,100,10000
bucketKNN,75708,3,1,100000
bucketKNN,152422,3,2,100000
bucketKNN,235353,3,5,100000
bucketKNN,326135,3,10,100000
bucketKNN,431816,3,20,100000
bucketKNN,570224,3,50,100000
bucketKNN,745134,3,100,100000
bucketKNN,10270,4,1,100
bucketKNN,21272,4,2,100
bucketKNN,35812,4,5,100
bucketKNN,55440,4,10,100
bucketKNN,83848,4,20,100
bucketKNN,127896,4,50,100
bucketKNN,236896,4,100,100
bucketKNN,89016,4,1,1000
bucketKNN,179501,4,2,1000
bucketKNN,277833,4,5,1000
bucketKNN,384867,4,10,1000
bucketKNN,512769,4,20,1000
bucketKNN,699525,4,50,1000
bucketKNN,971367,4,100,1000
bucketKNN,151045,4,1,10000
bucketKNN,303920,4,2,10000
bucketKNN,464000,4,5,10000
bucketKNN,633253,4,10,10000
bucketKNN,821007,4,20,10000
bucketKNN,1050777,4,50,10000
bucketKNN,1335193,4,100,10000
bucketKNN,157690,4,1,100000
bucketKNN,318806,4,2,100000
bucketKNN,486533,4,5,100000
bucketKNN,662716,4,10,100000
bucketKNN,856421,4,20,100000
bucketKNN,1088586,4,50,100000
bucketKNN,1373123,4,100,100000
bucketKNN,8643,5,1,100
bucketKNN,17878,5,2,100
bucketKNN,30737,5,5,100
bucketKNN,47610,5,10,100
bucketKNN,71526,5,20,100
bucketKNN,110051,5,50,100
bucketKNN,202921,5,100,100
bucketKNN,80941,5,1,1000
bucketKNN,164075,5,2,1000
bucketKNN,252671,5,5,1000
bucketKNN,350056,5,10,1000
bucketKNN,466175,5,20,1000
bucketKNN,633940,5,50,1000
bucketKNN,875677,5,100,1000
bucketKNN,383234,5,1,10000
bucketKNN,767543,5,2,10000
bucketKNN,1159768,5,5,10000
bucketKNN,1562134,5,10,10000
bucketKNN,1985452,5,20,10000
bucketKNN,2459125,5,50,10000
bucketKNN,3000258,5,100,10000
bucketKNN,346115,5,1,100000
bucketKNN,697733,5,2,100000
bucketKNN,1053071,5,5,100000
bucketKNN,1416491,5,10,100000
bucketKNN,1806629,5,20,100000
bucketKNN,2223954,5,50,100000
bucketKNN,2699404,5,100,100000
bucketKNN,9757,6,1,100
bucketKNN,18638,6,2,100
bucketKNN,30803,6,5,100
bucketKNN,46936,6,10,100
bucketKNN,68902,6,20,100
bucketKNN,114698,6,50,100
bucketKNN,205988,6,100,100
bucketKNN,77751,6,1,1000
bucketKNN,155853,6,2,1000
bucketKNN,239994,6,5,1000
bucketKNN,333267,6,10,1000
bucketKNN,445463,6,20,1000
bucketKNN,608444,6,50,1000
bucketKNN,839662,6,100,1000
bucketKNN,378821,6,1,10000
bucketKNN,757515,6,2,10000
bucketKNN,1142339,6,5,10000
bucketKNN,1535960,6,10,10000
bucketKNN,1943947,6,20,10000
bucketKNN,2391043,6,50,10000
bucketKNN,2896609,6,100,10000
bucketKNN,818190,6,1,100000
bucketKNN,1635671,6,2,100000
